id,country,state,city,school,station,frequency,emails,music_director,phone,website,address,ig_handles,station_type,genre_hints,submission_methods,flags,outreach_ease,show,notes_raw,source_page
S001,USA,AL,Auburn,Auburn University,WEGL 91.1,91.1,wegl@auburn.edu,Walker Greene,334-844-4057,weglfm.com,"255 Heisman Drive Suite 1105 Auburn, AL 36849",wegl_au,college,,email,,easy,Schedule,IG @wegl_au,12
S002,USA,AL,Huntsville,Oakwood University,WJOU 90.1,90.1,wjou@oakwood.edu,-,256-726-7418,wjou.org,"Praise 90.1FM WJOU 7000 Adventist Blvd NW Huntsville, Al 35896",wjoufm,college,,email,,easy,Schedule,IG @wjoufm,12
S003,USA,AL,Jacksonville,Jacksonville State University,WLJS 91.9,91.9,wljsmusicdirector@gmail.com,-,256-782-5592 256-782-5572,www.jsuchanticle er.com,"JSUchanticleer.com 700 Pelham Road N Jacksonville, AL 36265",wljsjsu,college,,email,,easy,Schedule,IG @wljsjsu,12
S004,USA,AL,Montgomery,Alabama State University,WVAS-FM HD-2 90.7,90.7,BamaStateRadio@gmail.com,-,-,wvasfm.org,-,,college,,email,,easy,Schedule,has 3 alternate stations online,12
S005,USA,AL,Normal,Alabama A&M University,WJAB 90.9,90.9,jessica.martin@aamu.edu,-,256-372-4057,wjab.org,"WJAB 90.9 Electronic Media Communications Morrison Building Room 132 4900 Meridian St. Normal, AL 35762",wjab90.9fm,college,,email,,easy,Schedule,IG @wjab90.9fm,12
S006,USA,AL,Tuscaloosa,University Of Alabama,WVUA 90.7,90.7,music.hiphop@wvuafm.ua.edu,Sarah,-,wvuafm.ua.edu,"Music Director WVUA 90.7 FM Box 870152 Tuscaloosa, AL 35487",wvuafm,college,hip-hop,form; email,,easy,Schedule,IG @wvuafm Submission Policy Link,12
S007,USA,AK,Anchorage,University of Alaska Anchorage,KRUA 88.1,88.1,krua.programdirector@alaska.edu,James,907-786-6802,kruaradio.org,"KRUA 88.1 FM 3211 PROVIDENCE DRIVE ANCHORAGE, AK, 99508",kruafm,college,,email,,easy,Schedule,IG @kruafm,12
S008,USA,AK,Fairbanks,University of Alaska Fairbanks,KSUA 91.5,91.5,ksua.music@alaska.edu,Daisy Carter,907-474-5782,ksuaradio.com,UAF Wood Center- Student Media Offices 1731 S. Chandalar Fairbanks AK 99709,ksuaradio,college,,email,,easy,Schedule,IG @ksuaradio,12
S009,USA,AR,Clarksville,University of the Ozarks,KUOZ 100.5,100.5,sedens@ozarks.edu,-,479-979-1450,Website,-,,college,,email,,easy,-,FB: KUOZ,12
S010,USA,AR,De Queen/ Nashville,University of Arkansas-Cossatot,KBPU ED 88.7 KTYC ED 88.5,88.7,lhinton@cccua.edu,Loren Hinton,870-584-6176,ed88radio.com,"ED 88 183 College Drive De Queen, Arkansas, 71832",,college,,form; email,,easy,-,Contact Form FB: ED 88,12
S011,USA,AR,Conway,Hendrix College,KHDX 93.1,93.1,,-,-,khdx.fm,"KHDX Radio 1600 Washington Ave Conway, AR 72032",khdxfm,college,,form,,medium,Schedule,IG @khdxfm khdx.fm/contact submit music at bottom of contact page,12
S012,USA,AR,Jonesboro,Arkansas State University,KASU 91.9,91.9,mscarbro@astate.edu; kasu@astate.edu,Marty Scarbrough,870-972-2200,kasu.org,"KASU-FM P.O. Box 1930 State University, AR 72467",kasuradio,college,,email,,easy,Schedule,IG @kasuradio,12
S013,USA,AR,Fayetville,University of Arkansas,KXUA 88.3,88.3,charts@uark.edu,-,479-575-2000,kxua.uark.edu,"Attn: Music Director KXUA Radio A665 Arkansas Union Fayetteville, AR 72701",kxua,college,,physical; email,,easy,Schedule,IG @kxua,12
S014,USA,AR,Little Rock,University of Arkansas Little Rock,KUAR 89.1,89.1,,-,(501)-916-6400,ualrpublicradio.org,"Little Rock Public Radio 5820 Asher Ave., Suite 400 Little Rock, AR 72204",,college,,,,hard,Schedule,-,12
S015,USA,AR,Siloam Springs,John Brown University,KLRC 90.9,90.9,,Mark Michaels,1-800-909- KLRC,klrc.com,"90.9 KLRC FM 110 N Broadway Siloam Springs, AR 72761",klrcfm,college,christian,form,positive_content_only,medium,Schedule,IG @klrcfm Positive Music Only Contact Form,12
S016,USA,AZ,Pheonix,Rio Salado College,KJZZ 91.5,91.5,,-,480-834-5627,kjzz.org,"KJZZ 91.5 FM 2323 W. 14th St. Tempe, AZ 85281",kjzzpheonix,college,,,,hard,Schedule,IG @kjzzpheonix Contact From,12
S017,USA,AZ,Tucson,University of Arizona,KAMP,,,-,520-621-8002,-,"KAMP Radio, University of Arizona 615 N. Park Ave. #101 Tucson, AZ 85721",kamp_radio,college,,,,hard,-,IG @kamp_radio,12
S018,USA,AZ,Flagstaff,Northern Arizona University,KJACK 107.1 FM,107.1 FM,see86@nau.edu,Logan,928-523-3036,kjackradio.com,"Atten: Scout Ehrler KJACK Radio PO Box 5619, Flagstaff, AZ 86011",kjacknau,college,,email,,easy,Schedule,IG @kjacknau,12
S019,USA,AZ,Flagstaff,Northern Arizona University,KNAU 88.7,88.7,,-,928-523-5628,knau.org,"KNAU PO Box 5764 Flagstaff, AZ 86011-5764",,public_npr,,,,hard,Schedule,FB: KNAU Arizona Public Radio,13
S020,USA,AZ,Yuma,Arizona Western College,Border Radio 94.7,94.7,,-,877-838-5292,borderradioaz.org,"Border Radio PO Box 929 Yuma, Arizona 85366",borderradioAZ,college,,form,,medium,Schedule,IG @borderradioAZ Music Submission Form Contact Form,13
S021,USA,CA,Arcata,Cal Poly Humboldt University,KHSU 90.5,90.5,khsu-contact@humboldt.edu,-,707-826-4807,khsu.org,-,,college,,email,,easy,Schedule,FB: KHSU,13
S022,USA,CA,Berkeley,"University of California, Berkeley",KALX 90.7,90.7,music@kalx.berkeley.edu; kalxinterviews@gmail.com,Michael Henning Mia Call Chris Michel,510-642-1111 M 11am-1pm W 9:30-11:30a,kalx.berkeley.edu,"University of California Berkeley KALX-FM 26 Barrows Hall #5650 Berkeley, CA 94720",kalxradio,college,,links_preferred; email,no_email_attachments,easy,Schedule,IG @kalxradio,13
S023,USA,CA,Chico,California State University Chico,KCSC Radio,,musickcscradio@csuchico.edu,DJs List,-,kcscradio.co,"KCSC 400 W. 1st St. Department of Media Arts, Design, and Technology Chico, CA 95929",kcscradio,college,,form; email,,easy,Schedule,IG @kcscradio Submission Form,13
S024,USA,CA,Chico,California State University Chico,NSPR,,,-,530-898-6198,mynspr.org,"North State Public Radio 35 Main Street, Suite 101, Chico, CA 95928",nsprnews,college,,,,hard,Schedule,IG @nsprnews,13
S025,USA,CA,Claremont,Claremont Colleges,KSPC 88.7,88.7,md@kspc.org,-,909-621-8157,KSPC.org,"KSPC, Pomona College Attn: Music Director Thatcher Music Building 340 N. College Ave. Claremont, CA 91711",kspcradio,college,,form; email,,easy,Schedule,IG @kspcradio broadcasts Los Angeles area Submission Guidelines,13
S026,USA,CA,Davis,University of California Davis,KDVS 90.3,90.3,,Charlie McBrian,(530) 754-5387,kdvs.org FAQ,"KDVS 90.3 FM ATTN: MUSIC DIRECTOR 14 Lower Freeborn Davis, CA 95616",kdvs903fm,college,,physical,,hard,Schedule,IG @kdvs903fm Physical Submissions Only,13
S027,USA,CA,Fullerton,California State University Fullerton,Titan Radio,,music@fullerton.edu,DJs Page,657-278-5505,titanradio.org lintr.ee/titanradio,"PLS – 51 800 N. State College Blvd. Fullerton, CA 92831",titanradio,college,,email,,easy,Schedule,IG @titanradio,13
S028,USA,CA,Fresno,Fresno Free College Foundation,KFCF 88.1,88.1,mattd@kfcf.org,Richard Withers,(559) 233-2221,kfcf.org,"KFCF 88.1 FM PO Box 4364 Fresno, CA 93744",kfcf88,college,,email,,easy,Schedule,IG @kfcf88,13
S029,USA,CA,Fresno,California State University Fresno,KFSR 90.7,90.7,90.7kfsr@gmail.com,Julie Logan Staff List,559-278-9070,kfsr.org,"KFSR Radio 5201 N. Maple Ave. M/S SA #119 Fresno, CA 93740",,college,,email,,easy,Schedule,FB 90.7 KSFR,13
S030,USA,CA,Hayward,Chabot College,KCRH 89.9,89.9,,-,510-952-7411,kcrhradio.com,"KCRH Radio 25555 Hesperian Boulevard Hayward, CA 94545",kcrh899fm,college,,,,hard,-,IG @kcrh899fm,13
S031,USA,CA,Irvine,"University of California, Irvine",KUCI 88.9,88.9,,-,949-824-6868,kuci.org,"KUCI 88.9 FM PO Box 4362 Irvine, CA 92616",kucifm,college,,physical; form,,medium,Schedule,IG @kucifm Submission Guidelines,13
S032,USA,CA,La Jolla,University of California San Diego,KSDT Triton Radio,,music@ksdt.org; submissions@ksdt.org,-,(858) 534-KSDT,ksdt.ucsd.edu,"KSDT Radio University of California, San Diego 9500 Gilman Dr. #0077 La Jolla, CA 92093-0315",ksdtradio,college,,email,,easy,Schedule,IG @ksdtradio,13
S033,USA,CA,Long Beach,"California State University, Long Beach",KBEACH 88.1 Jazz 88.1,88.1,info881@kkjz.org,-,562-985-1624 310-478-5540,22westmedia.com kkjz.org,"1212 N. Bellflower Blvd Suite 108 Long Beach, CA 90815",22westlb; kjazz881,college,jazz,email,,easy,Schedule Jazz Schedule,IG @22westlb @kjazz881 Jazz Music,13
S034,USA,CA,Los Angeles,-,KJazz 88.1,88.1,,Dan Seeff,-,kkjz.org,-,excursionsradio,college,jazz,,,hard,Schedule,IG @excursionsradio Thursdays 10pm-12am,13
S035,USA,CA,Los Altos,Foothill College,KFJC 89.7,89.7,,David Houchins,650 941 2500,kfjc.org,"KFJC Music Director 12345 El Monte Road Los Altos Hills, CA 94022",kfjc897fm; KFJC,college,,physical,,hard,Schedule,IG @kfjc897fm FB @KFJC,13
S036,USA,CA,Los Angeles,"University of California, Los Angeles",UCLA RADIO,,radio.music@media.ucla.ed,-,-,uclaradio.com,-,uclaradio,college,,email,,easy,Schedule,IG @uclaradio,13
S037,USA,CA,Los Angeles,University of Southern California,KXSC,,music@kxsc.org; musicwriting@kxsc.org; pd@kxsc.org,-,312-971-0767,kxsc.org,"KXSC Radio USC 3607 Trousdale Pkwy TCC B3 Los Angeles, Ca",kxscradio,college,,email,,easy,Schedule,IG @kxscradio,13
S038,USA,CA,Los Angeles,Loyola Marymount University,KXLU 88.9,88.9,samueltakanokxlu@gmail.com,Sam Takano,310-258-4622,kxlu.com,"KXLU 88.9fm Attn: Music Director One LMU Drive Los Angeles, CA 90045",KXLU,college,,email,,easy,Schedule,IG @KXLU,13
S039,USA,CA,Los Angeles,-,KPFK 90.7,90.7,expmind@yahoo.com; seanmosborn@gmail.com; groverzealous@yahoo.com; djbenthere@gmail.com; daniellemamath@gmail.com,-,818-985-2711,kpfk.org,"KPFK 90.7 3729 Cahuenga Blvd West North Hollywood, CA 91604",kpfk,college,,email,,easy,Schedule,IG @kpfk studio rental avlbl,14
