name,platform,topics,schedule,social,contact,website_other,location,source_page
StayOnBeat,YouTube,Music Reviews & Collaborations,Mon. & Wed. @10pm EST,IG @StayOnBeat,StayOnBeatLive@gmail.com,www.stayonbeat.com,"Miami, FL",40
The Cheat Code,YouTube,Music Business Artist Advice,Wednesdays,IG @gethecheatcode,-,linktr.ee/ getthecheatcode,"Atlanta, GA",40
Hollywood Beats,Instagram Live,Music Reviews,Tuesdays 7pm PST,IG: @hollywoodgotbeats,Submit Your Music Here,HollywoodGotBeats.com,"Los Angeles, CA",40
Americas Realest Podcast,YouTube & LiveHipHopDaily,Interviews & Culture Talk,Wednesdays 6-8pm EST,IG: @ americasrealest @americasrealesteverything,americasrealestmusic.com/ submit,americasrealestmusic. com/podcast,"Atlanta, GA",40
The Independent Living Podcast,YouTube,Successful Independent Creators,Varies,IG: @independentlivingpod cast,-,@dame.mec,Not Available,40
The Record Shepherd,YouTube,Music Business Artist Advice,Varies,IG: @timtimw_ @therecordshepherds,-,linktr.ee/ therecordshepherds,"New York City, NY",40
Entrepreneur Talk Live,Instagram Live,Entrepreneurship,Sundays & Mondays,IG: @romeyafavoriterapper,267-544-9069,linkr.bio/ romeyafavoriterapper,"Philadelphia, PA",40
Pensado’s Place,Website & YouTube,Studio Recording & Music Business,Varies,IG: @PensadosPlace Twitter: pensadosplace,-,www.pensadosplace.tv,Not Available,40
The Loft TV,YouTube,Artists Interviews,Weekly,IG: @TheLoftTV,-,linktr.ee/Theloftv,Not Available,40
i hate rappers… but i love artists,,Artists Interviews,Not Specified,IG: @i.hate.rappers,ContactiHateRappers@gmail.com,-,"Cleveland, OH",40
808’s and Mixtapes,Spotify,Music,Not Specified,IG: @808mixtape,zach@808mixtape.com,-,"Cleveland, OH",40
Moment of Clarity,YouTube,Artists Interviews,Not Specified,IG : @kingace_thecreator,momentofclaritypod1@gmail.com,-,Not Available,40
Dis N Dat Radio,Website,Artists Showcase,Not Specified,IG: @disndatradio,info@disndatradio.com,-,Not Available,40
Do What We Wanna Do Podcast,YouTube,Artists Showcase,Not Specified,IG: @dowhatwewannado podcast,Contact at the bottom of home page innervisionent.com/,innervisionent.com/,"Orlando, FL",40
Richhouse Reviews,Instagram & YouTube,Music Reviews,Daily,IG: @richhousereviews,Comment section on Instagram,Any genre is welcome,Not Available,40
NoCap | NXTUP,Instagram & YouTube,Artists Showcase,Not Specified,IG: @nocapshows,nocapshows.com,-,Not Available,40
The Hustle Podcast,YouTube,Talent Showcase,Weekly,IG: @maxmupesse,-,linktr.ee/maxmupesse,,40
The Skinny,YouTube,Artists Interviews Artist Showcase,Weekly,IG: @theskinnyshowatl,DM on IG or on website,skinandbonzprojectstudio.com,"Atlanta, GA",40
Makin’ It Magazine,YouTube & Twitch,Music Business Music Reviews & Artist Interviews,Weekly,IG: @makinit4indies,Contact and submit on website ->,MakinItMag.com Artists Grants & Win $,"Atlanta, GA",40
Million Dollaz Worth of Game,Spotify YouTube Apple,Artists Interviews Music Business,Weekly,IG: @mworthofgame,MDWOGBIZ@gmail.com,linktr.ee/ mworthofgame,Not Available,40
RoastNReview,YouTube & Twitch,Music Reviews & Artist Competitions $,Weekly,IG: @roastnreview,roastnreview@gmail.com text music to (732) 612-9966,www.roastnreview.com,Not Available,40
